game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,ot3_fg,ot3_3p,ot3_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-11-19_san_jose_st_uc_santa_barbara,UC Santa Barbara,2-14,1-8,2-2,8-18,2-6,7-8,7-16,3-8,4-6,7-17,4-8,4-4,,,,,,,,,,24-65,10-30,17-20,0,12,3,22,11,7,27,17
2025-11-19_san_jose_st_uc_santa_barbara,San Jose St.,8-16,1-6,0-0,4-9,1-4,7-9,2-13,0-8,5-9,4-9,2-5,8-10,,,,,,,,,,18-47,4-23,20-28,0,6,3,20,10,7,15,29
2025-11-19_california_baptist_csun,CSUN,4-14,1-5,3-3,2-15,0-3,4-7,5-13,2-8,3-5,7-11,2-4,3-5,,,,,,,,,,18-53,5-20,13-20,0,4,2,26,4,0,13,10
2025-11-19_california_baptist_csun,California Baptist,10-17,3-6,1-2,8-21,3-14,3-3,5-16,2-7,4-7,9-15,4-7,2-3,,,,,,,,,,32-69,12-34,10-15,0,22,2,36,14,0,17,32
2025-11-20_stanford_uc_davis,UC Davis,2-14,0-8,4-4,3-16,2-9,3-3,4-14,3-5,3-4,4-14,2-7,2-2,,,,,,,,,,13-58,7-29,12-13,0,3,1,12,0,0,8,4
2025-11-20_stanford_uc_davis,Stanford,5-14,1-4,4-4,8-16,2-6,2-2,6-14,1-5,8-11,5-14,1-4,3-4,,,,,,,,,,24-58,5-19,17-21,0,10,1,32,4,0,11,26
2025-11-20_long_beach_st_san_francisco,San Francisco,6-18,2-7,3-5,10-15,2-5,2-3,6-19,1-6,0-1,6-20,1-7,1-2,,,,,,,,,,28-72,6-25,6-11,0,15,0,40,14,2,15,19
2025-11-20_long_beach_st_san_francisco,Long Beach St.,7-16,1-6,1-2,5-16,2-6,2-2,8-16,1-2,2-2,1-8,0-2,4-6,,,,,,,,,,21-56,4-16,9-12,0,6,0,20,10,2,9,2
2025-11-20_omaha_csu_bakersfield,CSU Bakersfield,6-15,3-4,1-4,6-14,2-6,10-12,9-16,1-2,4-4,4-10,1-1,10-14,,,,,,,,,,25-55,7-13,25-34,0,8,3,32,20,4,28,4
2025-11-20_omaha_csu_bakersfield,Omaha,9-15,4-6,2-2,5-11,2-6,3-8,4-10,2-4,5-8,5-19,1-5,8-9,,,,,,,,,,23-55,9-21,18-27,0,5,3,22,8,4,16,15
2025-11-21_hawaii_lmu_ca,LMU (CA),3-12,0-4,4-5,5-15,2-7,1-2,3-12,2-5,2-7,7-16,1-4,3-5,,,,,,,,,,18-55,5-20,10-19,0,21,4,22,2,6,7,6
2025-11-21_hawaii_lmu_ca,Hawaii,4-12,1-3,0-1,8-14,2-5,0-3,2-11,1-2,2-2,6-10,2-4,7-12,,,,,,,,,,20-47,6-14,9-18,0,4,4,28,6,6,13,26
2025-11-21_uc_irvine_bowling_green,Bowling Green,1-16,0-9,1-2,3-13,1-10,8-10,6-17,3-9,0-0,4-12,2-5,7-8,,,,,,,,,,14-58,6-33,16-20,0,3,0,16,6,0,17,16
2025-11-21_uc_irvine_bowling_green,UC Irvine,5-15,0-3,5-5,6-18,1-10,5-7,10-16,5-8,2-2,5-12,2-5,3-3,,,,,,,,,,26-61,8-26,15-17,0,5,0,32,5,0,13,26
2025-11-21_cal_poly_southern_utah,Southern Utah,5-11,2-4,6-6,5-15,1-4,3-6,6-13,0-4,13-16,4-15,1-5,6-8,,,,,,,,,,20-54,4-17,28-36,1,15,5,36,21,7,26,24
2025-11-21_cal_poly_southern_utah,Cal Poly,4-11,1-3,5-6,5-13,2-4,1-2,5-15,2-7,5-6,11-19,3-6,3-3,,,,,,,,,,25-58,8-20,14-17,0,11,5,30,11,7,9,13
2025-11-21_sacramento_st_cal_st_fullerton,Cal St. Fullerton,3-13,0-3,0-0,5-13,1-4,3-4,7-23,1-7,7-9,7-20,2-6,0-0,,,,,,,,,,22-69,4-20,10-13,0,16,1,36,9,0,13,20
2025-11-21_sacramento_st_cal_st_fullerton,Sacramento St.,12-19,2-8,2-2,9-16,2-7,2-2,4-15,0-5,6-6,5-10,2-4,2-3,,,,,,,,,,30-60,6-24,12-13,0,15,1,44,20,0,22,20
2025-11-21_idaho_uc_riverside,UC Riverside,7-16,3-6,2-3,3-16,1-6,0-2,5-13,1-3,5-6,11-19,4-8,7-9,,,,,,,,,,26-64,9-23,14-20,0,6,1,30,13,2,21,28
2025-11-21_idaho_uc_riverside,Idaho,11-19,5-7,5-5,8-17,1-5,3-4,8-17,2-4,4-4,4-15,1-6,6-6,,,,,,,,,,31-68,9-22,18-19,0,21,1,42,16,2,25,46
2025-11-22_st_thomas_mn_uc_irvine,UC Irvine,7-13,2-3,8-8,6-15,1-5,3-3,4-11,0-2,4-4,4-13,2-5,1-2,,,,,,,,,,21-52,5-15,16-17,0,12,0,32,4,0,22,16
2025-11-22_st_thomas_mn_uc_irvine,St. Thomas (MN),3-15,0-4,0-0,9-11,3-4,3-3,5-15,2-6,3-4,4-11,2-7,0-0,,,,,,,,,,21-52,7-21,6-7,0,11,0,24,1,0,6,11
2025-11-22_uc_san_diego_air_force,Air Force,2-14,0-5,0-0,4-15,0-7,2-2,4-21,0-8,2-4,7-13,3-7,2-4,,,,,,,,,,17-63,3-27,6-10,0,7,0,22,6,0,6,9
2025-11-22_uc_san_diego_air_force,UC San Diego,11-18,0-4,0-0,3-12,2-4,2-2,3-13,0-3,0-0,6-12,2-6,3-6,,,,,,,,,,23-55,4-17,5-8,0,11,0,34,10,0,25,6
2025-11-22_wichita_st_csu_bakersfield,CSU Bakersfield,10-17,3-5,1-2,7-14,2-4,2-6,2-15,0-5,1-1,5-13,1-5,2-6,,,,,,,,,,24-59,6-19,6-15,0,17,1,34,13,5,18,13
2025-11-22_wichita_st_csu_bakersfield,Wichita St.,5-11,2-5,2-4,3-11,0-4,9-10,4-13,0-2,7-9,4-11,0-2,3-5,,,,,,,,,,16-46,2-13,21-28,0,8,1,22,7,5,12,25
2025-11-23_hawaii_portland,Portland,5-14,1-10,0-0,8-15,5-7,4-4,4-16,2-5,2-2,3-14,1-7,6-9,,,,,,,,,,20-59,9-29,12-15,0,12,7,12,3,11,19,19
2025-11-23_hawaii_portland,Hawaii,6-14,1-2,0-0,5-11,2-4,5-8,6-16,1-4,4-5,5-16,2-4,7-8,,,,,,,,,,22-57,6-14,16-21,0,12,7,28,10,11,27,40
