game_id,period,time_remaining,team,player,play,away_score,home_score
2026-01-08_washington_michigan_st,1,07:23,Michigan St.,"LADINE,ELLE","GOOD 3PTR by LADINE,ELLE",3,5
2026-01-08_washington_michigan_st,1,07:03,Washington,"BROWN,JALYN","MISS JUMPER by BROWN,JALYN",,
2026-01-08_washington_michigan_st,1,06:59,Michigan St.,"LADINE,ELLE","REBOUND DEF by LADINE,ELLE",,
2026-01-08_washington_michigan_st,1,06:54,Michigan St.,"MCGAUGHY,BRYNN","GOOD LAYUP by MCGAUGHY,BRYNN",3,7
2026-01-08_washington_michigan_st,1,06:54,Michigan St.,"SELLERS,SAYVIA","ASSIST by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,1,06:37,Washington,"BLAIR,KENNEDY","GOOD LAYUP by BLAIR,KENNEDY",5,7
2026-01-08_washington_michigan_st,1,06:15,Michigan St.,"LADINE,ELLE","GOOD 3PTR by LADINE,ELLE",5,10
2026-01-08_washington_michigan_st,1,06:15,Michigan St.,"MCGAUGHY,BRYNN","ASSIST by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,1,05:50,Washington,"JONES,RASHUNDA","MISS JUMPER by JONES,RASHUNDA",,
2026-01-08_washington_michigan_st,1,05:48,Washington,"JONES,RASHUNDA","REBOUND OFF by JONES,RASHUNDA",,
2026-01-08_washington_michigan_st,1,05:48,Michigan St.,"SELLERS,SAYVIA","FOUL by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,1,05:48,Washington,"JONES,RASHUNDA","SUB OUT by JONES,RASHUNDA",,
2026-01-08_washington_michigan_st,1,05:48,Washington,"BROWN,JALYN","SUB OUT by BROWN,JALYN",,
2026-01-08_washington_michigan_st,1,05:48,Washington,"SHUMATE,EMMA","SUB IN by SHUMATE,EMMA",,
2026-01-08_washington_michigan_st,1,05:48,Washington,"SAMBOLIC,SARA","SUB IN by SAMBOLIC,SARA",,
2026-01-08_washington_michigan_st,1,05:44,Washington,"BLAIR,KENNEDY","GOOD JUMPER by BLAIR,KENNEDY",7,10
2026-01-08_washington_michigan_st,1,05:15,Michigan St.,"STINES,HANNAH","MISS JUMPER by STINES,HANNAH",,
2026-01-08_washington_michigan_st,1,05:15,Washington,"SHUMATE,EMMA","BLOCK by SHUMATE,EMMA",,
2026-01-08_washington_michigan_st,1,05:11,Washington,"SHUMATE,EMMA","REBOUND DEF by SHUMATE,EMMA",,
2026-01-08_washington_michigan_st,1,05:08,Michigan St.,"HOWELL,AVERY","FOUL by HOWELL,AVERY",,
2026-01-08_washington_michigan_st,1,05:08,Washington,"SOTELO,INES","SUB OUT by SOTELO,INES",,
2026-01-08_washington_michigan_st,1,05:08,Washington,"WOODARD,JULIANN","SUB IN by WOODARD,JULIANN",,
2026-01-08_washington_michigan_st,1,05:08,Washington,"BLAIR,KENNEDY","GOOD FT by BLAIR,KENNEDY",8,10
2026-01-08_washington_michigan_st,1,05:08,Washington,"BLAIR,KENNEDY","GOOD FT by BLAIR,KENNEDY",9,10
2026-01-08_washington_michigan_st,1,05:06,Washington,"SAMBOLIC,SARA","FOUL by SAMBOLIC,SARA",,
