game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2022-02-12_long_beach_st_hawaii,Long Beach St.,6-15,1-5,4-7,6-13,3-5,7-8,2-13,1-8,4-5,6-17,1-5,3-5,,,,20-58,6-23,18-25,0,9,6,18,0,12,18,12
2022-02-12_uc_riverside_uc_san_diego,UC San Diego,4-15,0-4,0-2,9-17,2-6,0-0,2-11,1-4,2-2,4-13,1-7,4-5,,,,19-56,4-21,6-9,0,2,3,30,7,3,9,25
2022-02-12_uc_riverside_uc_san_diego,UC Riverside,3-12,1-2,4-6,3-12,0-0,5-6,9-16,5-7,2-2,7-15,4-6,3-4,,,,22-55,10-15,14-18,0,0,3,20,5,3,15,14
2022-02-12_uc_santa_barbara_cal_poly,Cal Poly,5-11,0-2,0-0,3-14,1-4,1-2,2-16,1-4,1-1,7-30,1-11,1-2,,,,17-71,3-21,3-5,0,9,1,22,10,2,7,23
2022-02-12_uc_santa_barbara_cal_poly,UC Santa Barbara,3-15,1-8,8-12,7-14,2-7,3-6,5-11,0-4,2-4,8-12,3-4,8-10,,,,23-52,6-23,21-32,0,8,1,28,14,2,25,34
2022-02-12_csun_csu_bakersfield,CSU Bakersfield,5-15,0-4,0-0,5-12,3-9,2-3,5-9,2-4,4-6,2-12,0-3,7-9,,,,17-48,5-20,13-18,0,4,10,20,7,15,7,33
2022-02-12_csun_csu_bakersfield,CSUN,6-15,3-4,0-2,2-10,0-0,1-1,7-14,1-2,3-5,5-13,1-3,4-4,,,,20-52,5-9,8-12,0,10,10,20,15,15,19,12
2022-02-15_uc_irvine_uc_san_diego,UC San Diego,4-17,1-11,0-1,4-16,3-8,0-0,5-13,1-5,3-3,7-16,1-4,1-1,,,,20-62,6-28,4-5,0,14,1,20,0,2,2,10
2022-02-15_uc_irvine_uc_san_diego,UC Irvine,10-18,3-6,2-2,4-18,1-6,0-0,7-17,3-9,2-2,6-16,1-6,1-3,,,,27-69,8-27,5-7,0,14,1,26,6,2,11,20
2022-02-17_cal_poly_uc_davis,UC Davis,11-16,5-7,1-2,10-17,2-8,0-0,8-17,6-10,0-0,5-10,2-6,1-2,,,,34-60,15-31,2-4,0,15,0,32,8,0,8,33
2022-02-17_cal_poly_uc_davis,Cal Poly,3-17,1-7,1-2,5-19,1-1,1-2,6-15,2-4,0-0,8-21,1-6,4-4,,,,22-72,5-18,6-8,0,8,0,24,11,0,11,21
2022-02-17_hawaii_uc_san_diego,UC San Diego,9-12,2-4,0-0,3-17,1-7,2-4,7-12,3-5,0-0,6-15,2-7,2-4,,,,25-56,8-23,4-8,0,7,1,28,2,0,9,15
2022-02-17_hawaii_uc_san_diego,Hawaii,2-15,2-7,2-4,3-12,1-5,3-3,3-15,2-8,6-8,11-15,2-4,4-6,,,,19-57,7-24,15-21,0,14,1,24,9,0,13,39
2022-02-17_cal_st_fullerton_uc_santa_barbara,UC Santa Barbara,4-15,0-1,0-0,9-13,3-5,0-0,2-12,0-4,2-3,3-14,2-9,5-9,,,,18-54,5-19,7-12,0,7,1,22,0,2,11,10
2022-02-17_cal_st_fullerton_uc_santa_barbara,Cal St. Fullerton,5-12,3-3,0-0,5-11,3-5,1-3,6-15,1-5,1-2,7-11,0-1,6-8,,,,23-49,7-14,8-13,0,9,2,18,2,2,14,5
2022-02-17_long_beach_st_csun,CSUN,3-11,1-2,0-0,5-8,2-2,2-2,7-11,4-6,5-5,1-5,1-1,4-9,,,,16-35,8-11,11-16,0,5,9,10,2,14,18,4
2022-02-17_long_beach_st_csun,Long Beach St.,3-11,1-4,2-2,6-11,2-5,0-0,5-8,2-3,6-8,3-11,0-3,4-6,,,,17-41,5-15,12-16,0,2,9,22,3,14,13,14
2022-02-17_csu_bakersfield_uc_riverside,UC Riverside,1-17,0-6,3-3,7-20,2-4,3-3,7-14,0-2,1-4,4-13,0-4,9-10,,,,19-64,2-16,16-20,0,15,3,26,2,3,6,4
2022-02-17_csu_bakersfield_uc_riverside,CSU Bakersfield,5-13,1-4,2-2,1-15,0-4,1-4,7-12,2-2,4-5,3-16,0-5,5-6,,,,16-56,3-15,12-17,0,10,3,26,7,3,4,36
2022-02-19_csu_bakersfield_uc_davis,UC Davis,7-14,1-4,0-0,6-16,2-5,3-4,8-12,4-6,3-3,6-18,3-12,5-6,,,,27-60,10-27,11-13,0,12,1,32,9,4,6,6
2022-02-19_csu_bakersfield_uc_davis,CSU Bakersfield,9-16,2-4,0-0,8-15,3-6,1-2,6-12,1-4,3-5,5-13,2-2,16-19,,,,28-56,8-16,20-26,0,13,1,30,9,4,11,48
