game_id,team,q1_fg,q1_3p,q1_ft,q2_fg,q2_3p,q2_ft,q3_fg,q3_3p,q3_ft,q4_fg,q4_3p,q4_ft,ot1_fg,ot1_3p,ot1_ft,ot2_fg,ot2_3p,ot2_ft,total_fg,total_3p,total_ft,technical_fouls,second_chance_pts,scores_tied,pts_in_paint,fast_break_pts,lead_changes,pts_off_turnovers,bench_pts
2025-01-23_long_beach_st_csun,Long Beach St.,6-19,2-6,2-2,6-24,2-10,2-2,10-20,2-7,10-12,8-18,4-9,4-6,,,,,,,30-81,10-32,18-22,0,25,3,30,7,4,20,15
2025-01-23_csu_bakersfield_cal_st_fullerton,Cal St. Fullerton,5-15,2-3,6-8,7-16,0-1,2-2,2-12,0-1,3-4,7-17,0-2,8-16,,,,,,,21-60,2-7,19-30,1,18,5,24,9,9,20,21
2025-01-23_csu_bakersfield_cal_st_fullerton,CSU Bakersfield,6-12,1-3,2-4,7-14,1-2,3-3,4-11,1-4,5-6,5-15,0-4,1-2,,,,,,,22-52,3-13,11-15,0,7,5,36,0,9,9,18
2025-01-25_hawaii_uc_irvine,UC Irvine,4-18,2-7,1-1,4-13,1-5,2-2,5-16,1-7,0-0,2-15,2-9,3-6,,,,,,,15-62,6-28,6-9,0,2,2,12,2,6,10,12
2025-01-25_hawaii_uc_irvine,Hawaii,2-12,0-4,1-1,5-12,2-7,0-1,4-16,0-10,3-4,5-13,1-4,7-12,,,,,,,16-53,3-25,11-18,0,5,2,24,15,6,13,3
2025-01-25_csun_uc_san_diego,UC San Diego,9-25,2-8,0-2,10-17,6-8,0-0,6-16,2-9,2-2,9-19,2-6,0-0,,,,,,,34-77,12-31,2-4,0,11,1,32,23,0,27,23
2025-01-25_csun_uc_san_diego,CSUN,3-12,2-7,2-2,3-13,2-6,2-3,5-17,2-7,3-6,2-11,0-6,5-6,,,,,,,13-53,6-26,12-17,0,6,1,14,5,0,10,7
2025-01-25_uc_santa_barbara_cal_st_fullerton,Cal St. Fullerton,5-11,0-2,2-2,7-15,3-4,0-2,8-12,1-2,4-4,5-10,0-0,4-5,,,,,,,25-48,4-8,10-13,0,3,6,20,4,8,18,9
2025-01-25_uc_santa_barbara_cal_st_fullerton,UC Santa Barbara,5-12,2-4,6-7,8-14,4-8,0-0,6-11,2-5,0-0,1-6,0-5,7-7,,,,,,,20-43,8-22,13-14,0,4,6,18,0,8,10,24
2025-01-25_long_beach_st_cal_poly,Cal Poly,7-19,2-8,1-2,8-18,0-4,0-0,10-15,1-2,1-1,5-13,0-3,13-13,,,,,,,30-65,3-17,15-16,0,10,8,42,12,6,12,14
2025-01-25_long_beach_st_cal_poly,Long Beach St.,7-16,0-4,4-4,4-13,1-6,4-6,6-17,2-7,5-6,9-20,0-3,3-6,,,,,,,26-66,3-20,16-22,0,13,8,28,14,6,22,27
2025-01-25_uc_riverside_csu_bakersfield,CSU Bakersfield,4-18,3-9,0-0,7-16,1-5,0-0,2-7,0-2,2-2,5-10,3-6,3-7,,,,,,,18-51,7-22,5-9,0,2,1,22,0,2,7,19
2025-01-25_uc_riverside_csu_bakersfield,UC Riverside,1-16,0-5,3-4,8-20,1-5,0-1,9-17,3-6,1-2,5-12,0-3,6-8,,,,,,,23-65,4-19,10-15,0,15,1,32,8,2,19,14
2025-01-30_uc_davis_uc_riverside,UC Riverside,7-18,0-3,0-0,5-16,2-3,1-2,3-15,1-6,1-2,2-17,1-5,1-1,,,,,,,17-66,4-17,3-5,0,9,8,20,10,7,17,12
2025-01-30_uc_davis_uc_riverside,UC Davis,6-15,2-5,1-1,4-12,1-5,1-2,5-12,0-5,3-4,4-10,0-2,6-6,,,,,,,19-49,3-17,11-13,0,4,8,30,6,7,14,9
